ok
1  1  1  5203.647293 283472.820922 282.103049 98368.465646 1248.974138 1124.112990 1
1  1  2  5529.961123 283302.898490 281.933948 98162.242316 1246.355742 1111.734416 1
1  1  3  5696.811726 283212.707671 281.844193 98052.909383 1244.967553 1105.213667 1
1  1  4  5820.959969 283143.868032 281.775686 97969.517762 1243.908739 1100.259572 1
1  1  5  5946.879139 283074.142930 281.706298 97885.105153 1242.836961 1095.261950 1
1  1  6  6089.170799 282996.231582 281.628763 97790.843348 1241.640128 1089.701529 1
1  1  7  6252.843765 282907.629582 281.540589 97683.726166 1240.280073 1083.408736 1
1  1  8  6439.810527 282807.380684 281.440825 97562.629320 1238.742519 1076.327843 1
1  1  9  6650.917888 282695.061486 281.329048 97427.079426 1237.021456 1068.443442 1
1  1  10  6886.622551 282570.443638 281.205033 97276.844664 1235.113941 1059.756042 1
1  1  11  7147.241044 282433.368874 281.068620 97111.783489 1233.018176 1050.273060 1
1  1  12  7433.058140 282283.694809 280.919669 96931.779217 1230.732681 1040.004964 1
1  1  13  7744.387646 282121.264538 280.758024 96736.703592 1228.255826 1028.963169 1
1  1  14  8081.621382 281945.882153 280.583489 96526.387756 1225.585468 1017.158450 1
1  1  15  8445.284692 281757.284981 280.395803 96300.589617 1222.718532 1004.599238 1
1  1  16  8836.114101 281555.104759 280.194600 96058.948450 1219.650440 991.289344 1
1  1  17  9255.178353 281338.807116 279.979347 95800.914310 1216.374207 977.224515 1
1  1  18  9704.079416 281107.591067 279.749249 95525.631030 1212.878964 962.386814 1
1  1  19  10185.303695 280860.213411 279.503066 95231.732053 1209.147359 946.734945 1
1  1  20  10702.867789 280594.665846 279.238802 94916.965559 1205.150802 930.186690 1
1  1  21  11263.575598 280307.546424 278.953070 94577.465787 1200.840209 912.585123 1
1  1  22  11879.633936 279992.751738 278.639796 94206.239625 1196.126789 893.629250 1
1  1  23  12574.541582 279638.532398 278.287289 93789.767151 1190.838881 872.720432 1
1  1  24  13397.659026 279220.208159 277.870986 93299.619117 1184.615523 848.591126 1
1  1  25  14464.617921 278679.963194 277.333351 92669.328006 1176.612783 818.311862 1
1  1  26  16087.171072 277861.921101 276.519262 91720.735180 1164.568599 774.298511 1
1  1  27  19296.259660 276250.611290 274.915738 89872.593585 1141.102938 693.743348 1
1  1  28  29047.561885 271368.194660 270.056914 84434.943464 1072.061662 493.372596 1
1  2  1  2837.514476 284655.887330 283.280399 99812.861063 1267.313476 1213.758770 1
1  2  2  2334.178933 284900.789585 283.524118 100113.741648 1271.133725 1233.092790 1
1  2  3  2145.885956 284988.170556 283.611077 100221.252288 1272.498777 1240.057296 1
1  2  4  2089.416976 285009.639528 283.632442 100247.679612 1272.834322 1241.773788 1
1  2  5  2096.402273 284999.381363 283.622233 100235.051658 1272.673986 1240.953361 1
1  2  6  2139.847160 284970.893402 283.593883 100199.988515 1272.228793 1238.677485 1
1  2  7  2208.160268 284929.971331 283.553159 100149.636731 1271.589482 1235.414770 1
1  2  8  2295.981754 284879.295070 283.502727 100087.308142 1270.798102 1231.384968 1
1  2  9  2400.696528 284820.172166 283.443890 100014.625743 1269.875261 1226.698293 1
1  2  10  2521.004152 284753.252837 283.377294 99932.404347 1268.831305 1221.412780 1
1  2  11  2656.295126 284678.841833 283.303243 99841.034903 1267.671196 1215.559387 1
1  2  12  2806.369878 284597.038939 283.221835 99740.657814 1266.396719 1209.153386 1
1  2  13  2971.317665 284507.799529 283.133027 99631.237903 1265.007426 1202.199360 1
1  2  14  3151.481371 284410.952158 283.036647 99512.586624 1263.500923 1194.692833 1
1  2  15  3347.481267 284306.186694 282.932388 99384.348278 1261.872694 1186.619649 1
1  2  16  3560.295826 284193.013897 282.819762 99245.951599 1260.115486 1177.953269 1
1  2  17  3791.418155 284070.687215 282.698027 99096.515693 1258.218114 1168.649406 1
1  2  18  4043.133662 283938.063944 282.566044 98934.682994 1256.163341 1158.636472 1
1  2  19  4319.013497 283793.358509 282.422038 98758.322562 1253.924111 1147.798658 1
1  2  20  4624.819555 283633.689963 282.263141 98563.986481 1251.456646 1135.945136 1
1  2  21  4970.244538 283454.211955 282.084530 98345.866129 1248.687195 1122.751391 1
1  2  22  5372.461834 283246.337789 281.877661 98093.666988 1245.485048 1107.641109 1
1  2  23  5863.907356 282993.849511 281.626392 97787.962398 1241.603549 1089.531921 1
1  2  24  6510.919580 282663.577882 281.297717 97389.108299 1236.539340 1066.242671 1
1  2  25  7463.910540 282180.316884 280.816791 96807.591848 1229.155887 1032.965309 1
1  2  26  9118.079314 281346.466980 279.986970 95810.043746 1216.490122 977.719542 1
1  2  27  12801.243346 279498.119447 278.147554 93625.041569 1188.747378 864.553835 1
1  2  28  25306.618242 273238.666482 271.918348 86489.514238 1098.148332 563.000260 1
1  3  1  2052.915433 285048.186852 283.670803 100295.142097 1273.436948 1244.861045 1
1  3  2  1439.014542 285348.371780 283.969537 100665.302674 1278.136838 1269.137843 1
1  3  3  1182.342889 285469.942089 284.090520 100815.489293 1280.043742 1279.088969 1
